season,team,games,total_gds,off_xvoa,def_xvoa,st_val,gds_per_game,off_xvoa_per_game,def_xvoa_per_game,made_playoffs,playoff_wins,won_super_bowl,reg_wins,reg_games,win_pct,offense_share,opp_avg_gds,avg_start_yardline
2018,ARI,16,-156.3870959283668,-98.8621746815818,-57.798791854623026,0.27387060783803463,-9.774193495522924,-6.178885917598863,-3.612424490913939,False,0,False,3,16,0.1875,-0.6304142670792542,0.4480870745794975,72.30769
2018,ATL,16,1.834146913295152,129.93795776985323,-126.62884832310645,-1.4749625334516168,0.114634182080947,8.121122360615827,-7.914303020194153,False,0,False,7,16,0.4375,0.5061331917275644,-0.08813282271081746,73.72891
2018,BAL,16,78.12907086689853,56.42619729918152,21.39441521153026,0.30845835618674755,4.883066929181158,3.526637331198845,1.3371509507206412,True,0,False,10,16,0.625,0.7235926403044161,0.5318927398726396,70.851425
2018,BUF,16,-45.87528060587611,-52.43023294796315,6.704619299644237,-0.14966695755720139,-2.8672050378672567,-3.2768895592476968,0.4190387062277648,False,0,False,6,16,0.375,-0.8842290849974885,0.06430459366148872,70.6911
2018,CAR,16,1.9992064583891906,83.75090442497992,-82.1971635220053,0.44546555541455746,0.12495040364932442,5.234431526561245,-5.137322720125331,False,0,False,7,16,0.4375,0.5041952835891735,0.7547775073949697,72.13856
2018,CHI,16,87.48389665581549,50.094802155069665,37.64254946814774,-0.25345496740192175,5.467743540988468,3.130925134691854,2.352659341759234,True,0,False,12,16,0.75,0.5699239081719671,-0.8688941206215259,69.82081
2018,CIN,16,-83.55567175936618,48.91166789394022,-133.98179450609604,1.5144548527896404,-5.222229484960386,3.0569792433712637,-8.373862156631002,False,0,False,6,16,0.375,0.26719881313717525,1.230318623534136,71.006096
2018,CLE,16,-7.66797207331499,15.51087497977173,-22.87111511360701,-0.30773193947970867,-0.4792482545821869,0.9694296862357331,-1.4294446946004382,False,0,False,7,16,0.4375,0.40244094667120983,0.7168379301447627,71.45408
2018,DAL,16,12.825439680981939,35.50399239438981,-22.42081491851687,-0.2577377948909998,0.8015899800613712,2.2189995246493632,-1.4013009324073045,True,1,False,10,16,0.625,0.6112440418908075,-0.1187258147676743,72.2236
2018,DEN,16,-13.404118552516163,9.927124625880353,-21.643689011744254,-1.6875541666522622,-0.8377574095322602,0.6204452891175221,-1.3527305632340159,False,0,False,6,16,0.375,0.31285439885819155,0.02587848448583041,72.58659
