game_id,posteam,offensive_xova,defensive_xova,st_value,gds,season,opponent
2018_01_ATL_PHI,ATL,-10.16972059721277,0.5688623891034998,0.2604016587138176,-9.340456549395451,2018,PHI
2018_01_ATL_PHI,PHI,-0.5688623891034998,10.16972059721277,-0.4388095699250698,9.1620486381842,2018,ATL
2018_01_BUF_BAL,BAL,13.566223014260121,14.00515372294709,1.272875353693962,28.844252090901172,2018,BUF
2018_01_BUF_BAL,BUF,-14.00515372294709,-13.566223014260121,-0.4742206037044525,-28.045597340911662,2018,BAL
2018_01_CHI_GB,CHI,2.746243859541975,-4.579335239628511,-0.43521447479724884,-2.268305854883785,2018,GB
2018_01_CHI_GB,GB,4.579335239628511,-2.746243859541975,0.00902744010090828,1.8421188201874443,2018,CHI
2018_01_CIN_IND,CIN,11.516784705152558,-1.8238644923306102,-0.1092984527349472,9.583621760087,2018,IND
2018_01_CIN_IND,IND,1.8238644923306102,-11.516784705152558,0.11212637042626739,-9.58079384239568,2018,CIN
2018_01_DAL_CAR,CAR,-2.189772169061018,9.50131261173381,0.06807149946689606,7.379611942139689,2018,DAL
2018_01_DAL_CAR,DAL,-9.50131261173381,2.189772169061018,0.07045844197273254,-7.24108200070006,2018,CAR
2018_01_HOU_NE,HOU,-5.542996893740801,-2.8123309031796815,0.7868203911930323,-7.56850740572745,2018,NE
2018_01_HOU_NE,NE,2.8123309031796815,5.542996893740801,-0.18949423730373383,8.165833559616749,2018,HOU
2018_01_JAX_NYG,JAX,-6.015440067288502,2.934453779460626,-0.1014106273651123,-3.1823969151929883,2018,NYG
2018_01_JAX_NYG,NYG,-2.934453779460626,6.015440067288502,-0.1332620158791542,2.9477242719487218,2018,JAX
2018_01_KC_LAC,KC,9.667603024842895,-10.626190683547428,-0.003631608560681343,-0.9622192672652137,2018,LAC
2018_01_KC_LAC,LAC,10.626190683547428,-9.667603024842895,-0.13286655396223068,0.8257211047423016,2018,KC
2018_01_LA_OAK,LA,9.166730295521834,3.8288698703551347,-0.032111406326293945,12.963488759550675,2018,LV
2018_01_LA_OAK,LV,-3.8288698703551347,-9.166730295521834,-0.16112472116947174,-13.15672488704644,2018,LA
2018_01_NYJ_DET,DET,-12.482024364207128,-8.920552854266544,0.21412737667560577,-21.188449841798068,2018,NYJ
2018_01_NYJ_DET,NYJ,8.920552854266544,12.482024364207128,0.3981393948197365,21.80071661329341,2018,DET
2018_01_PIT_CLE,CLE,-17.538983164401596,9.53814588485245,0.17345121502876282,-7.827386064520384,2018,PIT
2018_01_PIT_CLE,PIT,-9.53814588485245,17.538983164401596,-0.4314775448292494,7.569359734719898,2018,CLE
2018_01_SEA_DEN,DEN,0.8259131643321769,2.600123428914543,-0.12639421224594116,3.299642381000779,2018,SEA
2018_01_SEA_DEN,SEA,-2.600123428914543,-0.8259131643321769,-0.09806527383625507,-3.524101867082975,2018,DEN
2018_01_SF_MIN,MIN,-8.55583202486543,3.143874193051909,0.13059721142053604,-5.281360620392984,2018,SF
2018_01_SF_MIN,SF,-3.143874193051909,8.55583202486543,-0.10987323522567749,5.302084596587843,2018,MIN
2018_01_TB_NO,NO,20.532677081670695,-22.81679251485659,0.17060035467147827,-2.1135150785144177,2018,TB
2018_01_TB_NO,TB,22.81679251485659,-20.532677081670695,-0.33895787969231606,1.9451575534935799,2018,NO
2018_01_TEN_MIA,MIA,-7.035590807477078,7.887894868000649,0.5605390071868896,1.4128430677104609,2018,TEN
2018_01_TEN_MIA,TEN,-7.887894868000649,7.035590807477078,-0.10547205805778503,-0.9577761185813563,2018,MIA
2018_01_WAS_ARI,ARI,-6.379839061231614,-10.032040288761804,0.20870567858219147,-16.20317367141123,2018,WAS
2018_01_WAS_ARI,WAS,10.032040288761804,6.379839061231614,-0.3320285379886627,16.079850812004757,2018,ARI
2018_02_ARI_LA,ARI,-12.383141535455863,-5.846907292825799,-0.44699039310216904,-18.67703922138383,2018,LA
2018_02_ARI_LA,LA,5.846907292825799,12.383141535455863,0.7431817501783371,18.973230578459997,2018,ARI
2018_02_BAL_CIN,BAL,4.247747366191165,-6.72866496681824,0.020844750106334686,-2.4600728505207403,2018,CIN
2018_02_BAL_CIN,CIN,6.72866496681824,-4.247747366191165,0.26093335449695587,2.741850955124031,2018,BAL
2018_02_CAR_ATL,ATL,12.209551273621424,-7.400863153574434,-0.04348073899745941,4.76520738104953,2018,CAR
2018_02_CAR_ATL,CAR,7.400863153574434,-12.209551273621424,-0.14686833135783672,-4.955556451404826,2018,ATL
2018_02_CLE_NO,CLE,0.5960473310906168,2.3972760958364314,-0.5216728188097477,2.4716506081173004,2018,NO
2018_02_CLE_NO,NO,-2.3972760958364314,-0.5960473310906168,0.09739284962415695,-2.895930577302891,2018,CLE
2018_02_DET_SF,DET,7.928895419192447,-8.007150357682368,-0.03721049427986145,-0.11546543276978305,2018,SF
2018_02_DET_SF,SF,8.007150357682368,-7.928895419192447,0.11766433715820312,0.19591927564812472,2018,DET
2018_02_HOU_TEN,HOU,1.1898538849433216,-1.6941212935633754,0.018853329122066498,-0.4854140794979873,2018,TEN
2018_02_HOU_TEN,TEN,1.6941212935633754,-1.1898538849433216,-0.0898708924651146,0.4143965161549392,2018,HOU
2018_02_IND_WAS,IND,2.7162398621784245,20.551470778297773,0.1842774599790573,23.451988100455253,2018,WAS
2018_02_IND_WAS,WAS,-20.551470778297773,-2.7162398621784245,0.08972723968327045,-23.177983400792925,2018,IND
2018_02_KC_PIT,KC,20.87114536633131,-17.640263716239986,0.15962333232164383,3.390504982412967,2018,PIT
2018_02_KC_PIT,PIT,17.640263716239986,-20.87114536633131,0.08932344615459442,-3.1415582039367287,2018,KC
2018_02_LAC_BUF,BUF,3.86971231934812,-8.748510764972206,0.2685488685965538,-4.610249577027532,2018,LAC
2018_02_LAC_BUF,LAC,8.748510764972206,-3.86971231934812,0.08338838070631027,4.962186826330396,2018,BUF
2018_02_MIA_NYJ,MIA,-5.040726161970044,6.687684147492748,0.23230640590190887,1.8792643914246128,2018,NYJ
2018_02_MIA_NYJ,NYJ,-6.687684147492748,5.040726161970044,-0.25802968442440033,-1.9049876699471042,2018,MIA
2018_02_MIN_GB,GB,-0.059650485168820655,-5.6200142359263126,-0.23899154365062714,-5.91865626474576,2018,MIN
2018_02_MIN_GB,MIN,5.6200142359263126,0.059650485168820655,0.305121511220932,5.984786232316065,2018,GB
2018_02_NE_JAX,JAX,10.11059616415595,-0.9190981843540316,-0.002811536192893982,9.188686443609026,2018,NE
2018_02_NE_JAX,NE,0.9190981843540316,-10.11059616415595,0.36677680909633636,-8.824721170705583,2018,JAX
2018_02_NYG_DAL,DAL,3.8381313885695514,5.206526237245234,0.08180029690265656,9.126457922717442,2018,NYG
2018_02_NYG_DAL,NYG,-5.206526237245234,-3.8381313885695514,0.24488508701324463,-8.799772538801541,2018,DAL
2018_02_OAK_DEN,DEN,4.2983820645978295,-4.431380800749728,-0.21780038252472878,-0.35079911867662705,2018,LV
2018_02_OAK_DEN,LV,4.431380800749728,-4.2983820645978295,-0.3809651490300894,-0.2479664128781911,2018,DEN
